TransactionAmount,TransactionDate,TransactionType,Channel,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,hour,day_of_week,days_since_last,TransactionType_enc,Channel_enc,anomaly,anomaly_score,reasons
508.68,2023-06-26 16:16:50,Credit,Branch,127,1,7708.41,2024-11-04 08:09:32,16,0,497,0,1,1,0.09682135506663858,[]
858.63,2023-04-18 17:27:23,Credit,Branch,185,1,1872.96,2024-11-04 08:10:47,17,1,566,0,1,1,0.047437572812566,[]
25.36,2023-07-17 17:08:24,Debit,ATM,78,1,201.04,2024-11-04 08:11:05,17,0,476,1,0,1,0.13023115466386254,[]
147.62,2023-09-01 17:26:02,Debit,Branch,133,1,2115.8,2024-11-04 08:07:22,17,4,430,1,1,1,0.1199646712950711,[]
115.02,2023-09-11 16:19:04,Debit,Branch,175,1,7643.66,2024-11-04 08:08:38,16,0,420,1,1,1,0.15330811423311203,[]
383.37,2023-01-24 17:23:56,Debit,Branch,24,1,8901.93,2024-11-04 08:11:07,17,1,650,1,1,1,0.08049993456063687,[]
98.54,2023-08-11 16:18:46,Credit,Online,167,1,9383.43,2024-11-04 08:10:02,16,4,451,0,2,1,0.041112165699798475,[]
83.24,2023-10-16 18:35:11,Credit,Branch,164,1,1181.31,2024-11-04 08:10:52,18,0,385,0,1,1,0.05348280590838883,[]
196.16,2023-02-24 16:29:23,Debit,Branch,146,1,9418.86,2024-11-04 08:08:32,16,4,619,1,1,1,0.0868925977540641,[]
129.94,2023-01-02 16:36:02,Debit,ATM,235,1,7954.92,2024-11-04 08:06:35,16,0,672,1,0,1,0.0754534902990549,[]
306.9,2023-11-30 16:31:03,Debit,Online,51,1,9418.08,2024-11-04 08:10:48,16,3,340,1,2,1,0.08392879029367872,[]
114.98,2023-11-01 16:52:01,Debit,Online,80,1,6144.68,2024-11-04 08:09:24,16,2,369,1,2,1,0.130121124440786,[]
756.59,2023-03-06 16:47:02,Debit,Branch,17,1,420.65,2024-11-04 08:11:40,16,0,609,1,1,1,0.07675175154536573,[]
503.76,2023-11-27 18:32:49,Debit,Online,35,1,447.82,2024-11-04 08:09:22,18,0,343,1,2,1,0.041192095540797835,[]
143.03,2023-07-31 16:37:46,Debit,ATM,147,1,7981.45,2024-11-04 08:10:42,16,0,462,1,0,1,0.14388657853634446,[]
1045.22,2023-11-22 16:13:39,Debit,ATM,73,1,1829.9,2024-11-04 08:07:35,16,2,348,1,0,1,0.045193680020920834,[]
245.54,2023-03-21 16:29:31,Debit,ATM,180,1,985.06,2024-11-04 08:10:26,16,1,594,1,0,1,0.11362837330980985,[]
254.37,2023-04-20 18:26:50,Credit,Online,174,1,8849.26,2024-11-04 08:06:56,18,3,564,0,2,1,0.012107415954953016,[]
213.76,2023-03-01 17:52:14,Credit,ATM,282,1,3528.72,2024-11-04 08:09:36,17,2,614,0,0,1,0.0166603777403852,[]
327.86,2023-02-10 16:52:48,Debit,Online,104,1,480.16,2024-11-04 08:06:30,16,4,633,1,2,1,0.06615192750891763,[]
2.5,2023-07-21 16:43:11,Debit,Online,107,1,12145.27,2024-11-04 08:09:53,16,4,472,1,2,1,0.06001286321800847,[]
300.08,2023-10-09 17:02:43,Credit,Online,47,1,13546.75,2024-11-04 08:12:18,17,0,392,0,2,1,0.05625897812172331,[]
56.98,2024-01-01 16:34:10,Credit,ATM,122,2,5688.37,2024-11-04 08:07:42,16,0,308,0,0,-1,-0.018965897387764552,['Statistical outlier across multiple factors']
407.65,2023-07-07 16:11:38,Debit,Online,62,1,8346.64,2024-11-04 08:06:30,16,4,486,1,2,1,0.08605101620582611,[]
115.83,2023-05-22 17:09:52,Debit,Branch,167,1,6481.04,2024-11-04 08:10:02,17,0,532,1,1,1,0.14865278514019853,[]
53.57,2023-08-16 16:17:12,Debit,ATM,121,1,1651.33,2024-11-04 08:08:43,16,2,446,1,0,1,0.1500290882221832,[]
63.34,2023-11-17 16:02:02,Credit,Online,165,1,11174.94,2024-11-04 08:10:13,16,4,353,0,2,1,0.015541132180272865,[]
317.87,2023-05-22 17:29:35,Debit,Online,91,1,145.5,2024-11-04 08:11:32,17,0,532,1,2,1,0.12628855073001283,[]
331.65,2023-08-25 17:26:07,Debit,Online,61,1,4172.57,2024-11-04 08:11:00,17,4,437,1,2,1,0.09779299546406173,[]
5.04,2023-11-27 16:38:34,Debit,ATM,41,1,5558.36,2024-11-04 08:10:48,16,0,343,1,0,1,0.11489642817158996,[]
214.54,2023-08-04 17:46:44,Credit,Online,247,1,11151.53,2024-11-04 08:11:56,17,4,458,0,2,1,0.02248960275131784,[]
598.81,2023-09-04 16:48:35,Debit,Branch,158,1,1415.52,2024-11-04 08:10:13,16,0,427,1,1,1,0.1330603434650528,[]
841.28,2023-08-09 17:34:26,Debit,Online,80,1,1103.64,2024-11-04 08:09:58,17,2,453,1,2,1,0.09483620644146867,[]
38.15,2023-09-07 16:07:40,Debit,Online,108,1,303.68,2024-11-04 08:07:42,16,3,424,1,2,1,0.10583204217331615,[]
1036.66,2023-07-11 16:39:53,Debit,Branch,144,1,5541.57,2024-11-04 08:09:24,16,1,482,1,1,1,0.07335409267966675,[]
124.72,2023-07-03 17:14:07,Debit,Branch,105,1,6309.8,2024-11-04 08:07:25,17,0,490,1,1,1,0.15085428797889866,[]
302.45,2023-09-25 17:13:36,Credit,Branch,40,1,5133.61,2024-11-04 08:11:55,17,0,406,0,1,1,0.09066744726505149,[]
208.04,2023-11-20 17:10:02,Debit,Online,273,1,9344.98,2024-11-04 08:08:45,17,0,350,1,2,1,0.07748037392887086,[]
5.77,2023-11-17 17:27:07,Credit,Branch,254,1,1117.97,2024-11-04 08:10:53,17,4,353,0,1,1,0.005497032289038528,[]
381.33,2023-08-21 16:46:05,Debit,ATM,75,1,11835.35,2024-11-04 08:09:32,16,0,441,1,0,1,0.09835512567491544,[]
16.16,2023-10-16 16:59:36,Debit,ATM,124,1,14401.17,2024-11-04 08:11:59,16,0,385,1,0,1,0.07842988931398376,[]
486.08,2023-06-20 17:21:50,Debit,Online,68,1,1748.69,2024-11-04 08:07:03,17,1,503,1,2,1,0.1256058912609611,[]
336.39,2023-01-16 16:53:38,Debit,Branch,18,1,1000.46,2024-11-04 08:09:57,16,0,658,1,1,1,0.09619275738544025,[]
997.43,2023-11-22 16:07:19,Debit,Online,118,1,6810.05,2024-11-04 08:08:25,16,2,348,1,2,1,0.06340684579507871,[]
234.57,2023-09-01 16:09:08,Debit,Online,120,1,263.98,2024-11-04 08:08:47,16,4,430,1,2,1,0.07808766863650696,[]
6.0,2023-10-23 18:38:15,Debit,Online,246,1,5442.76,2024-11-04 08:09:43,18,0,378,1,2,1,0.04175357766576093,[]
1049.92,2023-10-23 16:50:33,Debit,ATM,21,1,2037.85,2024-11-04 08:10:34,16,0,378,1,0,1,0.03808128066856786,[]
227.14,2023-07-03 17:42:08,Debit,ATM,294,1,341.94,2024-11-04 08:11:34,17,0,490,1,0,1,0.07219142931434475,[]
233.74,2023-10-24 16:41:00,Credit,Online,17,1,1066.59,2024-11-04 08:11:17,16,1,377,0,2,1,0.06619847454305805,[]
113.02,2023-09-25 16:54:22,Credit,Branch,166,1,6077.96,2024-11-04 08:07:21,16,0,406,0,1,1,0.09977193483569907,[]
45.85,2023-02-16 17:57:10,Debit,ATM,92,1,1659.15,2024-11-04 08:07:24,17,3,627,1,0,1,0.1147824759887881,[]
973.39,2023-08-30 17:23:20,Debit,Branch,296,1,2042.22,2024-11-04 08:11:44,17,2,432,1,1,1,0.03611015492724012,[]
514.95,2023-04-13 18:37:48,Debit,Online,142,5,421.93,2024-11-04 08:10:01,18,3,571,1,2,-1,-0.03709729641696302,"['High login attempts (5)', 'Amount is over 50% of account balance']"
415.5,2023-07-28 16:29:23,Debit,ATM,141,1,10113.66,2024-11-04 08:10:23,16,4,465,1,0,1,0.08649220841198874,[]
265.76,2023-02-06 17:48:55,Debit,Online,92,1,4446.17,2024-11-04 08:12:18,17,0,637,1,2,1,0.12420222761992589,[]
69.4,2023-07-24 18:08:43,Debit,Online,113,1,6452.77,2024-11-04 08:09:04,18,0,469,1,2,1,0.09927480306166625,[]
332.93,2023-11-20 16:29:48,Credit,Branch,293,1,2788.2,2024-11-04 08:08:14,16,0,350,0,1,1,0.04694822244517638,[]
267.9,2023-10-09 16:52:47,Debit,Online,160,1,596.16,2024-11-04 08:08:34,16,0,392,1,2,1,0.12764094180006796,[]
496.03,2023-11-03 16:45:52,Debit,Branch,265,1,12904.66,2024-11-04 08:09:41,16,4,367,1,1,1,0.016641793669078808,[]
376.26,2023-02-15 16:41:11,Debit,ATM,245,1,9062.4,2024-11-04 08:09:58,16,2,628,1,0,1,0.07581757957839652,[]
83.02,2023-09-04 17:59:51,Credit,Online,171,1,9009.56,2024-11-04 08:11:01,17,0,427,0,2,1,0.07762765789008796,[]
93.26,2023-07-27 16:22:52,Credit,Online,72,1,1152.2,2024-11-04 08:12:04,16,3,466,0,2,1,0.06236664321117125,[]
803.37,2023-04-17 16:08:34,Credit,Branch,129,1,12168.37,2024-11-04 08:08:40,16,0,567,0,1,1,0.035619800273514635,[]
35.76,2023-09-19 17:38:18,Debit,Branch,122,1,611.86,2024-11-04 08:11:40,17,1,412,1,1,1,0.13828817390476955,[]
28.53,2023-05-31 16:37:39,Debit,Online,99,1,8670.53,2024-11-04 08:06:30,16,2,523,1,2,1,0.11785443885336633,[]
139.53,2023-10-09 17:20:09,Credit,Online,177,1,10098.86,2024-11-04 08:07:31,17,0,392,0,2,1,0.07084807210983812,[]
307.57,2023-01-09 16:12:01,Debit,Branch,285,1,5307.74,2024-11-04 08:06:33,16,0,665,1,1,1,0.07090100336241267,[]
60.65,2023-05-26 18:15:08,Credit,Branch,53,1,1047.28,2024-11-04 08:09:22,18,4,528,0,1,1,0.02593129616413803,[]
74.86,2023-08-14 17:43:17,Debit,Branch,125,1,6921.48,2024-11-04 08:07:39,17,0,448,1,1,1,0.15677604324547234,[]
117.97,2023-11-24 18:51:32,Debit,Branch,137,1,1475.46,2024-11-04 08:09:21,18,4,346,1,1,1,0.07277911750314603,[]
231.91,2023-01-31 18:31:22,Debit,ATM,165,1,112.76,2024-11-04 08:12:15,18,1,643,1,0,1,0.05675509994980721,[]
126.21,2023-02-14 16:07:01,Debit,Branch,268,1,5669.66,2024-11-04 08:08:42,16,1,629,1,1,1,0.08534424723700351,[]
506.28,2023-05-02 17:03:29,Credit,Online,162,2,1309.95,2024-11-04 08:09:09,17,1,552,0,2,1,0.017082195320146543,[]
304.35,2023-12-04 17:07:34,Debit,Branch,36,1,4057.1,2024-11-04 08:08:45,17,0,336,1,1,1,0.12489652585424771,[]
281.85,2023-05-16 17:26:37,Debit,ATM,109,1,1585.98,2024-11-04 08:07:38,17,1,538,1,0,1,0.14103864073021039,[]
777.88,2023-03-20 16:58:12,Debit,Branch,17,1,6825.55,2024-11-04 08:09:15,16,0,595,1,1,1,0.08558192687691862,[]
119.18,2023-08-25 18:01:38,Debit,Branch,96,1,5516.5,2024-11-04 08:07:34,18,4,437,1,1,1,0.09585257315348067,[]
177.19,2023-05-15 17:25:28,Debit,Online,43,1,5343.3,2024-11-04 08:06:30,17,0,539,1,2,1,0.13575872831467772,[]
260.88,2023-05-29 16:50:10,Debit,Branch,36,1,903.05,2024-11-04 08:06:52,16,0,525,1,1,1,0.1452793307360557,[]
169.47,2023-03-22 16:10:14,Debit,Online,19,1,1806.16,2024-11-04 08:07:37,16,2,593,1,2,1,0.10983332350001213,[]
73.23,2023-05-19 16:52:53,Debit,Branch,14,1,787.74,2024-11-04 08:11:12,16,4,535,1,1,1,0.08929412660208952,[]
1362.55,2023-02-10 18:07:07,Debit,ATM,106,1,2429.68,2024-11-04 08:11:05,18,4,633,1,0,-1,-0.025592844720537578,"['Unusually large amount ($1362.55)', 'Amount is over 50% of account balance']"
792.57,2023-05-22 16:22:36,Debit,ATM,164,1,770.37,2024-11-04 08:10:39,16,0,532,1,0,1,0.0975245266473026,[]
237.06,2023-12-18 16:47:17,Debit,Online,46,1,1182.77,2024-11-04 08:07:50,16,0,322,1,2,1,0.11291981762453601,[]
34.17,2023-11-21 16:57:43,Credit,Online,54,1,726.55,2024-11-04 08:06:29,16,1,349,0,2,1,0.060198904038358036,[]
740.25,2023-07-19 17:03:58,Debit,Online,123,1,14464.3,2024-11-04 08:08:27,17,2,474,1,2,1,0.04832766126938404,[]
453.54,2023-04-19 16:36:03,Debit,ATM,82,1,12046.3,2024-11-04 08:12:06,16,2,565,1,0,1,0.09127785531913751,[]
300.47,2023-11-13 16:11:52,Debit,Branch,100,1,7885.64,2024-11-04 08:08:00,16,0,357,1,1,1,0.14843222527377575,[]
110.93,2023-04-07 16:38:15,Credit,Branch,201,1,1952.35,2024-11-04 08:10:53,16,4,577,0,1,1,0.03667247643111071,[]
201.69,2023-01-03 16:46:36,Debit,ATM,299,1,7328.52,2024-11-04 08:10:16,16,1,671,1,0,1,0.04698523305473068,[]
399.21,2023-01-30 16:15:49,Debit,ATM,109,1,3210.39,2024-11-04 08:08:21,16,0,644,1,0,1,0.12065994769428079,[]
1041.88,2023-09-06 16:44:02,Debit,Online,57,1,5726.2,2024-11-04 08:06:44,16,2,425,1,2,1,0.06166326674853295,[]
630.36,2023-03-02 16:11:53,Debit,ATM,52,1,1363.65,2024-11-04 08:12:15,16,3,613,1,0,1,0.09258125349558383,[]
10.94,2023-10-23 17:24:07,Credit,ATM,245,1,1241.99,2024-11-04 08:11:53,17,0,378,0,0,1,0.0353563876697075,[]
215.9,2023-01-04 16:02:09,Debit,ATM,235,1,7873.28,2024-11-04 08:10:23,16,2,670,1,0,1,0.07609896081191936,[]
1422.55,2023-07-10 17:49:18,Debit,Branch,165,1,5674.32,2024-11-04 08:06:50,17,0,483,1,1,1,0.04740554627042293,[]
226.37,2023-09-18 17:07:08,Credit,Branch,141,1,9840.04,2024-11-04 08:09:56,17,0,413,0,1,1,0.08949778124585567,[]
444.89,2023-09-11 16:27:39,Credit,Branch,101,1,10328.23,2024-11-04 08:11:50,16,0,420,0,1,1,0.08227902758384364,[]
